sleutel,code
Salaris,A1
Teruggaaf,A2
Rente over periode ,A2
GBLT Incasso,B4
Gemeentelijke Belastingen,B5
Infomedics,C2
Autoverzekering,D1
Avia,D3
Brandverzekering,E2
Conrad,E5
DELA,F1
Overlijdensrisicoverzekering,F1
Reisverzekering,F2
Rechtsbijstand,F3
Restaurant,H2
Bistro,H2
Steakhouse,H2
Fletcher,H4
Netflix,I1
Volkskrant,I1
Libelle,I1
Rabo BasisPakket  ,I3
(Extra) Rabo Wereldpas,I3
Rabo TotaalPakket,I3
Nederlandse Loterij,I9
Staatsloterij,I9
Betaalautomaat,V1
Geldautomaat,V2
Zie rekeningoverzicht,V3
Dirk,G1
Boodschappen,G1
Textiel,G2